NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD1	30	26.452774047851562	0.050979394	Yes	
row_1	DCHS1	40	24.76897621154785	0.09998084	Yes	
row_2	CDH11	47	24.027847290039062	0.14769731	Yes	
row_3	FSTL1	53	23.427934646606445	0.19427885	Yes	
row_4	ACTA2	64	22.187326431274414	0.23804429	Yes	
row_5	FAT3	143	17.99896812438965	0.26890954	Yes	
row_6	PCDHGC3	176	16.416418075561523	0.29965883	Yes	
row_7	TCF7L1	230	14.652746200561523	0.3254827	Yes	
row_8	PCDHGA5	258	13.955464363098145	0.3516359	Yes	
row_9	ACTG2	278	13.48021411895752	0.3773684	Yes	
row_10	PCDHGA12	311	12.908005714416504	0.40109226	Yes	
row_11	PCDH12	408	10.974843978881836	0.41669735	Yes	
row_12	CDH5	413	10.799599647521973	0.43805757	Yes	
row_13	PCDHGA6	474	9.863424301147461	0.45382643	Yes	
row_14	PCDH18	581	8.700961112976074	0.46421447	Yes	
row_15	PCDHGC5	638	8.19792366027832	0.47691372	Yes	
row_16	WNT2B	645	8.08743667602539	0.49271023	Yes	
row_17	FZD7	711	7.524382591247559	0.5034634	Yes	
row_18	FAT1	794	6.790948867797852	0.5116196	Yes	
row_19	PCDHB3	844	6.397714138031006	0.5211786	Yes	
row_20	PCDHGB1	919	5.998349666595459	0.52827865	Yes	
row_21	PCDHB6	941	5.846725940704346	0.5385927	Yes	
row_22	WNT11	968	5.712507724761963	0.5483061	Yes	
row_23	FZD2	1074	5.131906986236572	0.5516136	Yes	
row_24	PCDHGB7	1084	5.062732696533203	0.56115425	Yes	
row_25	PCDHB4	1113	4.91454553604126	0.56913704	Yes	
row_26	PCDHB12	1121	4.894360065460205	0.57847315	Yes	
row_27	WNT5A	1195	4.601298809051514	0.58284205	Yes	
row_28	WNT4	1211	4.527511119842529	0.59091264	Yes	
row_29	SRC	1245	4.415615081787109	0.59756446	Yes	
row_30	FYN	1261	4.355098247528076	0.6052898	Yes	
row_31	PCDHGA3	1320	4.132284164428711	0.60971504	Yes	
row_32	WNT9A	1329	4.101891040802002	0.61739796	Yes	
row_33	PCDHGA2	1349	4.0452680587768555	0.62423736	Yes	
row_34	PCDHB11	1363	3.9906365871429443	0.63136566	Yes	
row_35	CDH23	1371	3.9598371982574463	0.6388304	Yes	
row_36	PCDHGC4	1429	3.789128065109253	0.6426349	Yes	
row_37	PCDHGA7	1457	3.723248243331909	0.64829856	Yes	
row_38	CDH13	1465	3.6944029331207275	0.65523183	Yes	
row_39	WNT7A	1486	3.618502616882324	0.66115034	Yes	
row_40	PCDHB14	1526	3.506633996963501	0.6655838	Yes	
row_41	PCDHGB6	1595	3.3535189628601074	0.6677859	Yes	
row_42	PCDHGB5	1629	3.2814438343048096	0.6721666	Yes	
row_43	CDH2	1654	3.2010247707366943	0.6769836	Yes	
row_44	PCDH9	1705	3.0489578247070312	0.6797705	Yes	
row_45	WNT2	1711	3.034649610519409	0.6855154	Yes	
row_46	PCDHA12	1725	3.0071053504943848	0.6906742	Yes	
row_47	CTNNB1	1766	2.93108868598938	0.6938887	Yes	
row_48	PCDHGA10	1775	2.921626329421997	0.6992082	Yes	
row_49	PCDHGA8	1790	2.8882999420166016	0.7040627	Yes	
row_50	PCDHAC2	1792	2.8840696811676025	0.7097716	Yes	
row_51	PCDHGB4	1824	2.8110201358795166	0.713343	Yes	
row_52	WNT7B	1833	2.7960402965545654	0.718411	Yes	
row_53	PCDHGA1	1846	2.762096881866455	0.72314554	Yes	
row_54	FZD10	1917	2.588817834854126	0.72368366	Yes	
row_55	ACTB	1949	2.52866268157959	0.7266897	Yes	
row_56	CDH22	2023	2.404728412628174	0.72666	Yes	
row_57	PCDHA11	2039	2.3855953216552734	0.7304415	Yes	
row_58	PCDH7	2101	2.2935478687286377	0.7309857	Yes	
row_59	PCDHA13	2160	2.2037513256073	0.73154914	Yes	
row_60	WNT3	2172	2.18337082862854	0.73519117	Yes	
row_61	WNT10A	2196	2.1571340560913086	0.7379842	Yes	
row_62	PCDHA6	2229	2.1078569889068604	0.74008125	Yes	
row_63	PCDHA7	2361	1.9036450386047363	0.7351987	No	
row_64	LEF1	2487	1.7486071586608887	0.73040396	No	
row_65	PCDHAC1	2616	1.6084736585617065	0.7251294	No	
row_66	PCDHA10	2704	1.5089809894561768	0.7223769	No	
row_67	FZD8	2774	1.4417717456817627	0.72068447	No	
row_68	PCDHA5	2804	1.414254903793335	0.7215917	No	
row_69	PCDHGA11	2808	1.4126415252685547	0.72422135	No	
row_70	CTNND1	2928	1.3151702880859375	0.7189568	No	
row_71	PCDHGB2	3021	1.2277597188949585	0.7153093	No	
row_72	PCDHB10	3079	1.1811044216156006	0.7138913	No	
row_73	ACTR2	3108	1.1626249551773071	0.7143611	No	
row_74	GSK3B	3132	1.1408756971359253	0.7151191	No	
row_75	PCDHA1	3205	1.0881016254425049	0.71251935	No	
row_76	CTNND2	3235	1.067156434059143	0.71273154	No	
row_77	CSNK2A2	3285	1.0435339212417603	0.711569	No	
row_78	ACTG1	3313	1.0249086618423462	0.71182936	No	
row_79	PCDHA2	3365	0.9829784035682678	0.71041286	No	
row_80	WNT5B	3445	0.9370843172073364	0.70704603	No	
row_81	GSK3A	3719	0.7834744453430176	0.69049585	No	
row_82	PCDH1	3796	0.7427226305007935	0.686939	No	
row_83	PTPN1	3826	0.7307386994361877	0.68647754	No	
row_84	CELSR1	3998	0.6519840359687805	0.6764338	No	
row_85	CDH24	4001	0.6518194079399109	0.6776063	No	
row_86	FAT2	4030	0.6413025856018066	0.6770321	No	
row_87	FER	4062	0.6289405822753906	0.67623407	No	
row_88	FZD9	4279	0.5304703116416931	0.66296035	No	
row_89	FZD6	4378	0.4962834417819977	0.65744984	No	
row_90	PCDHB5	4426	0.47347167134284973	0.65527856	No	
row_91	WNT6	4435	0.47087982296943665	0.6556905	No	
row_92	PCDHB2	4472	0.457050085067749	0.6542164	No	
row_93	CDH6	4512	0.4447535574436188	0.6525186	No	
row_94	PCDHB16	4669	0.39394503831863403	0.64295363	No	
row_95	FZD5	4723	0.3786065876483917	0.6401942	No	
row_96	CELSR2	4784	0.35822629928588867	0.6369293	No	
row_97	PCDHB13	4889	0.3318162262439728	0.63069123	No	
