NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BTRC	1983	2.4818289279937744	-0.12324228	No	
row_1	RB1	4808	0.3515860140323639	-0.30900574	No	
row_2	PSMD1	5314	0.22554078698158264	-0.34170073	No	
row_3	CDC14A	5864	0.10426636785268784	-0.3776984	No	
row_4	ANAPC2	5867	0.10273704677820206	-0.37749976	No	
row_5	CDC27	6006	0.0779806450009346	-0.38638157	No	
row_6	PSME3	7201	-0.12382311373949051	-0.4650032	No	
row_7	PSME4	7688	-0.21744674444198608	-0.49646682	No	
row_8	FZR1	7720	-0.22322435677051544	-0.4977993	No	
row_9	PSMC4	7911	-0.26553699374198914	-0.5095183	No	
row_10	CDC23	7930	-0.2692982852458954	-0.50984204	No	
row_11	ANAPC4	7967	-0.2778170108795166	-0.51132953	No	
row_12	CDC16	8331	-0.36500513553619385	-0.5341775	No	
row_13	RPS27A	8450	-0.3954343795776367	-0.540713	No	
row_14	ANAPC1	8952	-0.5249675512313843	-0.57217866	No	
row_15	SKP2	9225	-0.6070134043693542	-0.5882245	No	
row_16	CUL1	9395	-0.6607823371887207	-0.5972804	No	
row_17	PSMD5	9468	-0.6802237033843994	-0.59985405	No	
row_18	ANAPC16	9499	-0.6896664500236511	-0.5996177	No	
row_19	SKP1	9645	-0.7440930604934692	-0.6068169	No	
row_20	PSMD3	9736	-0.7770227789878845	-0.61026996	No	
row_21	UBE2D1	9880	-0.8276664018630981	-0.6170675	No	
row_22	PSMD8	9916	-0.840112566947937	-0.61667746	No	
row_23	CCNA1	10008	-0.8723130226135254	-0.61988974	No	
row_24	UBB	10689	-1.14455246925354	-0.6612058	No	
row_25	CDC26	10741	-1.1695789098739624	-0.6608132	No	
row_26	UBC	10939	-1.2639217376708984	-0.6697792	No	
row_27	PSMD12	11082	-1.3253339529037476	-0.6749073	No	
row_28	PSMD2	11084	-1.3259129524230957	-0.67070204	No	
row_29	PSMC5	11112	-1.3426692485809326	-0.6681634	No	
row_30	ANAPC5	11845	-1.7070103883743286	-0.711109	No	
row_31	PSMF1	11875	-1.725949764251709	-0.70746803	No	
row_32	BUB1B	12023	-1.8124895095825195	-0.71135765	No	
row_33	PSMB7	12026	-1.8138827085494995	-0.7056465	No	
row_34	AURKA	12131	-1.8931753635406494	-0.70643044	No	
row_35	PSMC1	12253	-1.983543872833252	-0.70804834	No	
row_36	PSMD10	12407	-2.0914218425750732	-0.71143645	No	
row_37	PSMB5	12517	-2.166536569595337	-0.71167064	No	
row_38	PSMA1	12543	-2.193392038345337	-0.7062591	No	
row_39	PSMD6	12747	-2.3660945892333984	-0.7120714	No	
row_40	PSMD13	13082	-2.6853890419006348	-0.7255249	Yes	
row_41	UBA52	13090	-2.697148323059082	-0.71729916	Yes	
row_42	ANAPC7	13096	-2.704274892807007	-0.70891815	Yes	
row_43	PSMA7	13200	-2.785933256149292	-0.7067598	Yes	
row_44	CDK2	13406	-2.992527484893799	-0.71068645	Yes	
row_45	PSMB2	13467	-3.0542337894439697	-0.704818	Yes	
row_46	PSMC3	13560	-3.16575288772583	-0.7007081	Yes	
row_47	UBE2S	13673	-3.3095645904541016	-0.6974585	Yes	
row_48	ANAPC10	13731	-3.391486406326294	-0.690305	Yes	
row_49	PSMD11	13783	-3.453814744949341	-0.68255365	Yes	
row_50	PSMD9	13825	-3.498201847076416	-0.6739975	Yes	
row_51	PSMD14	13984	-3.7826273441314697	-0.6722683	Yes	
row_52	UBE2C	14022	-3.8508172035217285	-0.6623114	Yes	
row_53	PSMD7	14029	-3.858494758605957	-0.6502782	Yes	
row_54	PSMC6	14079	-3.952395439147949	-0.64078826	Yes	
row_55	ANAPC11	14136	-4.054510116577148	-0.63143265	Yes	
row_56	PSMB6	14198	-4.173231601715088	-0.6220255	Yes	
row_57	CDK1	14217	-4.204923629760742	-0.6096704	Yes	
row_58	PSMA4	14233	-4.227622985839844	-0.59704363	Yes	
row_59	CDC20	14308	-4.403000354766846	-0.58775663	Yes	
row_60	PSMA2	14457	-4.729596138000488	-0.5823149	Yes	
row_61	NEK2	14466	-4.7492241859436035	-0.5675445	Yes	
row_62	UBE2E1	14561	-4.988535404205322	-0.5576948	Yes	
row_63	MAD2L1	14599	-5.0931196212768555	-0.5437358	Yes	
row_64	PSMB3	14612	-5.115108013153076	-0.52805144	Yes	
row_65	PSMB1	14628	-5.164187908172607	-0.51240754	Yes	
row_66	BUB3	14633	-5.175806999206543	-0.49599817	Yes	
row_67	PLK1	14661	-5.258687496185303	-0.480844	Yes	
row_68	FBXO5	14679	-5.310848712921143	-0.46485996	Yes	
row_69	PTTG1	14683	-5.331019401550293	-0.4478844	Yes	
row_70	PSMA3	14819	-5.888686656951904	-0.43784824	Yes	
row_71	PSMC2	14822	-5.915173530578613	-0.41892463	Yes	
row_72	CCNB1	14832	-5.9550957679748535	-0.40033567	Yes	
row_73	CCNA2	14841	-5.9945149421691895	-0.38155353	Yes	
row_74	AURKB	14962	-6.867823123931885	-0.36737034	Yes	
row_75	PSMD4	15077	-8.499289512634277	-0.34753418	Yes	
row_76	PSMB4	15113	-9.18789291381836	-0.32025135	Yes	
row_77	PSMA5	15135	-10.147501945495605	-0.28895056	Yes	
row_78	PSMA6	15141	-10.422077178955078	-0.25570634	Yes	
row_79	PSMB10	15161	-12.009282112121582	-0.21827537	Yes	
row_80	PSMB8	15186	-15.76928997039795	-0.1690623	Yes	
row_81	PSME1	15187	-16.251163482666016	-0.11670852	Yes	
row_82	PSME2	15191	-17.950611114501953	-0.059078425	Yes	
row_83	PSMB9	15193	-18.359058380126953	-1.4330726E-7	Yes	
