NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	79	-0.85694104	-2.9545763	0.0	0.0	0.0	1188	tags=73%, list=8%, signal=79%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	163	-0.7353244	-2.7855332	0.0	0.0	0.0	1180	tags=52%, list=8%, signal=55%	
DNA REPLICATION%REACTOME DATABASE ID RELEASE 75%69306	DNA REPLICATION%REACTOME DATABASE ID RELEASE 75%69306	Details ...	117	-0.7283141	-2.68537	0.0	0.0	0.0	2678	tags=62%, list=18%, signal=74%	
INTERFERON SIGNALING%REACTOME%R-HSA-913531.2	INTERFERON SIGNALING%REACTOME%R-HSA-913531.2	Details ...	170	-0.695533	-2.6721964	0.0	0.0	0.0	1192	tags=40%, list=8%, signal=43%	
INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 75%909733	INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 75%909733	Details ...	54	-0.8268966	-2.652641	0.0	0.0	0.0	1111	tags=65%, list=7%, signal=70%	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.1	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.1	Details ...	86	-0.7522763	-2.6290221	0.0	0.0	0.0	2496	tags=74%, list=16%, signal=89%	
CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	Details ...	52	-0.8235231	-2.6168332	0.0	0.0	0.0	1111	tags=65%, list=7%, signal=70%	
SYNTHESIS OF DNA%REACTOME DATABASE ID RELEASE 75%69239	SYNTHESIS OF DNA%REACTOME DATABASE ID RELEASE 75%69239	Details ...	110	-0.7267402	-2.6053703	0.0	0.0	0.0	2123	tags=55%, list=14%, signal=64%	
MITOCHONDRIAL TRANSLATIONAL TERMINATION%GOBP%GO:0070126	MITOCHONDRIAL TRANSLATIONAL TERMINATION%GOBP%GO:0070126	Details ...	87	-0.7430413	-2.6036391	0.0	0.0	0.0	2496	tags=71%, list=16%, signal=85%	
HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	Details ...	149	-0.69011486	-2.5975852	0.0	0.0	0.0	3189	tags=63%, list=21%, signal=79%	
TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337	TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337	Details ...	52	-0.8235231	-2.5965111	0.0	0.0	0.0	1111	tags=65%, list=7%, signal=70%	
MITOCHONDRIAL TRANSLATIONAL ELONGATION%GOBP%GO:0070125	MITOCHONDRIAL TRANSLATIONAL ELONGATION%GOBP%GO:0070125	Details ...	87	-0.75007004	-2.5937934	0.0	0.0	0.0	2496	tags=74%, list=16%, signal=88%	
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	Details ...	125	-0.7052871	-2.590495	0.0	0.0	0.0	3084	tags=67%, list=20%, signal=84%	
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	Details ...	56	-0.810684	-2.5870452	0.0	0.0	0.0	1111	tags=61%, list=7%, signal=65%	
REGULATION OF MITOTIC CELL CYCLE%REACTOME%R-HSA-453276.2	REGULATION OF MITOTIC CELL CYCLE%REACTOME%R-HSA-453276.2	Details ...	84	-0.734176	-2.5825872	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=61%	
TRANSLATIONAL TERMINATION%GOBP%GO:0006415	TRANSLATIONAL TERMINATION%GOBP%GO:0006415	Details ...	94	-0.73744667	-2.5729306	0.0	0.0	0.0	2496	tags=68%, list=16%, signal=81%	
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.1	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.1	Details ...	86	-0.744698	-2.5637062	0.0	0.0	0.0	2496	tags=72%, list=16%, signal=86%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	104	-0.71949494	-2.5548182	0.0	0.0	0.0	1653	tags=47%, list=11%, signal=53%	
MITOCHONDRIAL TRANSLATION%REACTOME DATABASE ID RELEASE 75%5368287	MITOCHONDRIAL TRANSLATION%REACTOME DATABASE ID RELEASE 75%5368287	Details ...	92	-0.73772436	-2.5537167	0.0	0.0	0.0	3159	tags=77%, list=21%, signal=97%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.1	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.1	Details ...	86	-0.74490577	-2.5537107	0.0	0.0	0.0	3159	tags=80%, list=21%, signal=101%	
APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME DATABASE ID RELEASE 75%174143	APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME DATABASE ID RELEASE 75%174143		84	-0.734176	-2.5530636	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=61%	
DNA-DEPENDENT DNA REPLICATION%GOBP%GO:0006261	DNA-DEPENDENT DNA REPLICATION%GOBP%GO:0006261		157	-0.6746751	-2.552035	0.0	0.0	0.0	3406	tags=58%, list=22%, signal=74%	
ANAPHASE-PROMOTING COMPLEX-DEPENDENT CATABOLIC PROCESS%GOBP%GO:0031145	ANAPHASE-PROMOTING COMPLEX-DEPENDENT CATABOLIC PROCESS%GOBP%GO:0031145		80	-0.7380022	-2.5480886	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=61%	
INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060333	INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060333		64	-0.78515536	-2.5431516	0.0	0.0	0.0	1192	tags=55%, list=8%, signal=59%	
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 75%176814	ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 75%176814		73	-0.7486456	-2.5419202	0.0	0.0	0.0	2113	tags=56%, list=14%, signal=65%	
INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.3	INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.3		81	-0.7408441	-2.5395937	0.0	0.0	0.0	1192	tags=47%, list=8%, signal=51%	
REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%R-HSA-176408.3	REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%R-HSA-176408.3		77	-0.7353806	-2.538409	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=62%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543		106	-0.72007227	-2.5369706	0.0	0.0	0.0	2496	tags=64%, list=16%, signal=76%	
APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT%REACTOME DATABASE ID RELEASE 75%179419	APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT%REACTOME DATABASE ID RELEASE 75%179419		70	-0.74150676	-2.5169947	0.0	0.0	0.0	2113	tags=54%, list=14%, signal=63%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0042590	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0042590		76	-0.7293362	-2.5107057	0.0	0.0	0.0	2942	tags=71%, list=19%, signal=88%	
SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME DATABASE ID RELEASE 75%69052	SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME DATABASE ID RELEASE 75%69052		81	-0.73299193	-2.5101554	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=61%	
ER-PHAGOSOME PATHWAY%REACTOME DATABASE ID RELEASE 75%1236974	ER-PHAGOSOME PATHWAY%REACTOME DATABASE ID RELEASE 75%1236974		79	-0.72516906	-2.5079641	0.0	0.0	0.0	2113	tags=51%, list=14%, signal=59%	
DNA REPLICATION PRE-INITIATION%REACTOME DATABASE ID RELEASE 75%69002	DNA REPLICATION PRE-INITIATION%REACTOME DATABASE ID RELEASE 75%69002		75	-0.74449235	-2.4998221	0.0	0.0	0.0	2448	tags=65%, list=16%, signal=77%	
